VelocityX, VelocityY, LocationX, LocationY
598.832886, -37.411682, 131.059967, -7.904820
-244.906509, -547.739075, 1492.343750, -480.941040
-250.919693, -545.011353, 692.717407, -2256.836182
-599.985046, -4.216591, -188.310455, -3643.875000
-523.538818, 293.099426, -2278.781250, -3438.965088
426.247467, -422.269135, -3494.474609, -2827.113281
595.058167, -76.859360, -2172.500732, -4105.089355
599.069336, 33.392059, -698.024231, -4292.607422
113.146088, -589.233459, 1410.577881, -4739.258301
-551.547791, -236.210083, 1238.216187, -6792.573730
-530.792786, -279.740936, -563.534363, -7604.995605
-435.884125, 412.318420, -2164.586670, -8081.826172
-234.815842, 552.140442, -3249.089600, -7040.778320
-13.473178, -599.856506, -3746.555908, -6130.420898
-410.391144, 437.700531, -4033.119385, -7047.797363
-442.089172, 405.654938, -5512.478516, -5545.330078
494.117462, 340.370789, -6240.687500, -4167.367676
599.769531, 16.246273, -4571.098145, -3298.729980
599.938660, -8.384077, -2714.598877, -3262.625732
-22.186663, -599.591797, -1208.513550, -3779.377197
-590.919861, 103.996506, -1802.774902, -5199.880859
-592.144287, 96.772537, -4228.720215, -4767.763672
424.513611, -424.016327, -5071.429199, -4431.664551
212.015976, -561.282593, -3655.774170, -6670.011719
-534.339722, -272.930756, -3770.312744, -8446.507813
-524.128357, -292.049652, -5362.870117, -9270.580078
-578.620361, 158.739838, -7767.332520, -10334.263672
-198.558014, -566.184570, -9375.016602, -10386.101563
130.347015, -585.664246, -9765.624023, -12266.521484
444.451233, -403.074036, -9111.727539, -14198.457031
577.214600, 163.778870, -7490.099121, -15351.773438
-461.256592, 383.713959, -5783.087402, -14784.963867
-276.261963, -532.624084, -7477.730469, -14261.809570
343.103851, -492.206726, -8070.353516, -16231.628906
-508.772217, 318.063629, -8127.725098, -17251.826172
216.915054, 559.408691, -8406.187500, -13834.943359
599.821899, -14.459726, -7363.370605, -12435.428711
182.579468, 571.548706, -5533.225586, -12353.589844
-101.176315, 591.405884, -5080.841309, -10331.447266
-216.821869, 559.447388, -5441.454102, -8470.475586
-597.783447, -51.487560, -6452.699219, -7092.593262
-77.563583, 594.959045, -8020.355957, -6825.990723
-37.271511, 598.837097, -8250.474609, -4768.033203
337.632721, -495.988647, -7835.402344, -3169.598145
489.960663, 346.322937, -6272.868652, -3928.615723
-413.336914, 434.914948, -4946.825684, -2415.945068
409.753632, 438.290924, -6166.003906, -881.665161
324.008514, -504.992004, -4925.581055, -84.291412
499.826263, 331.929199, -3605.844482, -1045.883911
-367.617340, 474.192169, -2563.546387, 85.990623
433.781952, 414.521820, -3114.574951, 1651.216919
527.507507, -207.124924, -1993.835938, 2662.345459
-494.511261, -339.794922, -905.184509, 1966.096436
342.118774, -492.904602, -1940.230347, 790.307861
297.115326, 521.270142, -895.279907, -158.762512
-506.710876, -321.316711, -398.485077, 722.238525
-585.169617, 132.574539, -2020.993896, -9.048521
-128.858047, -585.999878, -3590.141357, -64.993317
-448.453247, -398.612244, -4144.658203, -1744.120605
-435.279083, -412.953064, -5603.762207, -3048.916260
411.796204, -436.379730, -6519.676270, -4291.355469
413.216095, -435.028290, -5256.090820, -5628.795898
417.694946, -430.730011, -4022.658691, -6923.135254
-374.903534, 468.458862, -3217.156494, -7730.268555
-550.140564, -239.467209, -4629.957031, -6755.233398
-388.358154, -457.350189, -6218.504395, -7596.979980
-385.437714, -459.809814, -7424.844727, -9021.136719
-379.422882, -464.804901, -9037.242188, -10965.263672
-534.223755, 273.164154, -10350.041016, -11951.624023
-598.536560, 41.654499, -12183.330078, -11230.645508
193.210434, -568.054565, -13597.802734, -11435.370117
196.510193, 566.917969, -12974.122070, -12464.623047
-261.918488, 539.810486, -12727.403320, -10526.931641
-522.501038, -294.963409, -13502.127930, -9234.421875
-503.928253, -325.692139, -15173.773438, -10207.433594
-331.169647, 500.328857, -16566.566406, -10858.236328
-503.988251, -325.606598, -17760.275391, -9815.488281
-483.091187, -355.821838, -19381.320313, -10894.731445
-366.865234, 474.779633, -20829.929688, -11508.271484
-474.909241, -366.675537, -22264.162109, -10693.824219
-366.914307, 474.736786, -23684.703125, -11345.090820
-471.549683, -371.011383, -25117.273438, -10534.702148
-596.946716, 60.499454, -26475.652344, -11454.860352
292.724304, -523.747192, -28075.250000, -11717.329102
-577.727539, -161.924759, -27582.472656, -13257.200195
-198.371689, -566.261414, -29310.767578, -13779.281250
245.299255, 547.541992, -29696.701172, -14954.827148
189.970123, -569.127869, -28984.056641, -13884.630859
403.512970, 444.046112, -28406.400391, -15173.066406
-40.890293, 598.600708, -27408.089844, -13769.291992
82.134834, 558.970215, -27506.789063, -12291.716797
-585.040649, 133.140915, -27208.949219, -10541.308594
-162.994614, -577.440796, -28707.650391, -10305.250977
-430.245605, 418.191071, -29245.089844, -11703.104492
593.814331, -85.978676, -30018.511719, -10592.051758
62.457531, 596.735901, -28497.244141, -10629.702148
598.822083, 37.613400, -28259.556641, -9129.313477
596.794312, -62.024754, -26436.421875, -9067.381836
62.087299, 596.771606, -24852.466797, -8562.291992
448.308472, -398.756622, -24574.820313, -7499.019531
352.419922, 485.603149, -23297.960938, -8317.755859
101.614845, -591.334717, -22321.244141, -7476.901367
