LocationX, LocationY
1598.966553, -99.611305
892.012512, -1823.596313
77.645782, -3592.804932
-1659.041138, -3654.210938
-3562.085449, -2720.515625
-2449.642090, -3862.195068
-713.862305, -4293.490234
770.419861, -4210.761719
1687.919434, -6183.579102
-113.737503, -7371.570801
-1864.620239, -8290.699219
-3233.031006, -7071.147949
-3824.684814, -5687.334961
-3779.577881, -7600.693359
-5039.044434, -5974.928711
-6596.379883, -4550.759766
-5029.489258, -3333.039063
-3100.355225, -3258.890869
-1244.002441, -3283.177734
-1262.896484, -5249.039063
-3251.205078, -4944.971680
-5680.217773, -4530.545410
-4030.859131, -5471.015137
-3136.079590, -8045.830078
-5080.095215, -9115.517578
-6647.595215, -9986.440430
-9185.630859, -9945.177734
-9861.724609, -11773.944336
-9446.108398, -13702.141602
-8022.289063, -15186.468750
-6075.342773, -14950.354492
-6913.680176, -13844.446289
-8154.875488, -15567.322266
-7229.340332, -17438.125000
-9374.852539, -16472.183594
-7874.482910, -12463.716797
-5893.140137, -12470.859375
-5085.722168, -10952.722656
-5328.834961, -8881.829102
-5972.924316, -7099.166992
-7917.975586, -7218.795898
-8210.481445, -5367.632813
-8341.836914, -3300.160156
-7007.801758, -4385.361816
-5071.931152, -3079.748047
-5959.924805, -1349.961304
-5161.592773, 192.699356
-4131.375977, -1322.121094
-2380.653320, -232.248260
-3464.655762, 1248.338745
-2051.291016, 2667.291260
-700.841187, 2154.653564
-2117.314209, 1133.202637
-1101.644653, -417.877045
-166.997467, 1118.962891
-1640.526855, -65.368050
-3455.353516, 315.916412
-3905.994141, -1501.377930
-5243.929688, -2721.218262
-6670.732910, -4061.162354
-5509.899414, -5361.416016
-4243.199707, -6695.156738
-2998.827148, -7978.918945
-4136.114746, -6581.989258
-5978.400391, -7342.186035
-7170.430176, -8718.017578
-8369.626953, -10148.213867
-9967.275391, -12104.580078
-11659.517578, -11282.050781
-13650.477539, -11128.542969
-13124.216797, -12827.762695
-12492.428711, -11074.978516
-13369.415039, -9203.758789
-14782.862305, -9957.417969
-16408.962891, -11005.746094
-17378.308594, -9631.851563
-18995.667969, -10613.631836
-20565.478516, -11766.932617
-21729.199219, -10344.478516
-23428.281250, -11592.632813
-24584.089844, -10181.411133
-26273.125000, -11444.117188
-27938.863281, -11306.564453
-27357.710938, -13001.166992
-28998.562500, -13654.102539
-29797.005859, -15167.258789
-29095.443359, -13612.734375
-28518.416016, -15279.639648
-27417.322266, -14084.625000
-27508.310547, -12302.071289
-27305.478516, -10921.625977
-28642.947266, -10214.961914
-29107.185547, -11720.678711
-30299.712891, -10678.027344
-28562.964844, -10802.803711
-28344.160156, -9167.029297
-26791.771484, -9037.120117
-24973.611328, -9219.414063
-24700.287109, -7099.530273
-23475.910156, -8476.461914
-22434.142578, -7127.479980
-22072.166016, -8926.346680
