LocationX, LocationY
1991.202881, 1192.898682
4082.382813, 739.039490
4327.723633, -1686.118164
2676.307129, -1938.630981
4032.930664, -3464.229248
5154.740234, -5267.472168
3936.978271, -6621.279785
2841.992676, -5143.652344
2185.790527, -3582.399414
1710.746338, -1988.331543
1206.632690, -196.802628
-272.822357, 750.692871
-1078.119873, -766.729065
-1916.691528, -2297.730225
-2830.079834, -3827.713135
-4042.442871, -5401.688965
-5247.862793, -6967.264160
-4335.279785, -5516.239746
-3332.433838, -3966.105469
-2295.165283, -2427.775879
-1300.729370, -1167.270508
-177.992157, 249.001312
1000.555420, 1694.584229
-843.731995, 1341.893677
458.667969, 163.565292
1633.157104, 1354.008789
539.835144, 52.964554
-1159.620850, -96.818069
-684.479248, -7.804168
1446.366211, -757.636597
544.744080, 991.105713
-1284.849609, 1551.640503
-3467.180420, 1608.611816
-4301.703613, 3260.143799
-6034.221191, 2492.223877
-7554.492676, 1738.785645
-8430.266602, 3193.024414
-10055.729492, 2367.334717
-11328.531250, 3836.037109
-10591.725586, 2474.988770
-9659.595703, 817.569153
-10467.896484, 2076.804199
-11401.108398, 3456.772461
-11023.462891, 5044.477051
-11336.616211, 6811.192383
-10061.461914, 8067.500488
-8496.307617, 7512.562500
-7657.732910, 9166.759766
-6597.853516, 7676.114258
-7089.579590, 9511.769531
-6315.761230, 11214.255859
-8062.427246, 11913.728516
-6661.422852, 11342.498047
-6985.573730, 13703.256836
-5317.638672, 14288.353516
-7167.491211, 13804.460938
-7893.754883, 15402.300781
-7319.961914, 17564.164063
-8942.047852, 16476.343750
-9599.411133, 18077.046875
-8063.785645, 18934.285156
-6344.162598, 19671.693359
-7726.608887, 20796.257813
-9485.442383, 21316.369141
-9798.729492, 19560.992188
-7977.574707, 18578.101563
-9333.869141, 17580.316406
-11017.193359, 18442.048828
-12484.376953, 19506.029297
-13775.956055, 20630.947266
-15105.906250, 21795.529297
-13329.909180, 21721.683594
-12168.400391, 23133.890625
-10760.462891, 22046.289063
-12275.117188, 21079.361328
-10877.887695, 19964.867188
-11897.891602, 18749.000000
-14380.820313, 17373.507813
-15932.197266, 18701.800781
-15680.000977, 20771.613281
-15438.886719, 22756.884766
-17294.712891, 22096.595703
-17457.162109, 20190.285156
-19026.535156, 19226.435547
-19036.306641, 19221.876953
-20276.054688, 20416.322266
-18470.904297, 20051.863281
-18980.867188, 18295.480469
-18984.326172, 18284.785156
-18984.326172, 18284.785156
-20806.628906, 18881.552734
-22741.664063, 18803.783203
-24423.117188, 18682.255859
-25588.271484, 19963.226563
-24823.722656, 18474.978516
-23012.939453, 19557.105469
-23003.330078, 19563.218750
-23003.330078, 19563.218750
-22253.152344, 18111.849609
-20626.966797, 17717.457031
-22457.128906, 18196.962891
-21730.289063, 19921.210938
-20903.283203, 18591.269531
-19986.595703, 17209.068359
-19430.736328, 17513.478516
-18917.455078, 19240.679688
-18770.478516, 21209.330078
-16858.367188, 20389.488281
-15497.697266, 21131.763672
-13953.750977, 21885.056641
-13951.298828, 20347.263672
-13974.921875, 22137.396484
-15700.768555, 21604.884766
-14339.410156, 22772.542969
-16104.779297, 22968.960938
-14831.640625, 21542.916016
-13696.390625, 22755.160156
-15154.789063, 21984.605469
-16991.611328, 21946.689453
-17171.375000, 23558.029297
-15907.412109, 22509.214844
-14579.150391, 21342.500000
-15679.548828, 22697.511719
-16564.486328, 23918.794922
-17526.255859, 25236.882813
-18901.613281, 23921.089844
-17804.880859, 22791.833984
-15656.361328, 22071.804688
-14258.231445, 23220.470703
-15796.157227, 22573.203125
-17229.490234, 23544.044922
-17649.953125, 25228.513672
-15716.117188, 25423.781250
-14599.676758, 24498.109375
-14817.754883, 22583.095703
-13444.513672, 21588.574219
-14100.479492, 21818.630859
-14100.522461, 21818.847656
-13854.044922, 21613.187500
-13748.694336, 21500.914063
-13196.947266, 22005.539063
-13338.509766, 22299.269531
-14503.383789, 22988.003906
-14105.286133, 22751.429688
-13768.466797, 22165.488281
-14098.531250, 22704.789063
-13703.178711, 22949.626953
-14336.090820, 22315.710938
-14042.465820, 22404.353516
-14041.733398, 22404.580078
-14277.478516, 21348.599609
-13951.462891, 22881.632813
-12367.662109, 22318.578125
-12119.037109, 22380.347656
-12041.448242, 22252.287109
-11616.524414, 22396.841797
-10115.005859, 21588.490234
-10205.577148, 19883.761719
-11762.318359, 19280.476563
-11828.982422, 19413.814453
-11888.980469, 19564.261719
-12255.847656, 19902.095703
-12635.729492, 20352.996094
-13842.150391, 21359.876953
-15114.600586, 21545.486328
-15742.458984, 21120.974609
-16676.976563, 22432.742188
-19168.980469, 22495.785156
-17525.935547, 22473.025391
-19255.564453, 21976.023438
-17598.578125, 21791.423828
-17089.611328, 21262.664063
-16411.472656, 19837.179688
-15609.314453, 18556.253906
-17447.927734, 20492.261719
-17632.988281, 20886.742188
-19215.748047, 20823.802734
-19677.914063, 22431.402344
-20348.439453, 21932.435547
-21006.720703, 21475.169922
-21946.460938, 21562.416016
-21985.566406, 21571.753906
-22052.787109, 21618.162109
-23792.314453, 22144.703125
-25200.474609, 22587.716797
-26604.462891, 23033.111328
-28063.078125, 23574.037109
-29457.300781, 24097.478516
-30962.771484, 23975.679688
-31889.972656, 25222.845703
-32681.908203, 26482.943359
-33357.980469, 27863.714844
-34880.968750, 27609.521484
-36320.351563, 27083.478516
-34846.929688, 26453.376953
-35034.332031, 26891.826172
-35243.894531, 27305.519531
-36721.031250, 26685.392578
-36730.152344, 26681.470703
-37514.789063, 26331.648438
-38916.203125, 25707.359375
-40437.175781, 26173.560547
-39694.902344, 26771.792969
-40384.453125, 28407.949219
-41919.371094, 29046.730469
-41360.613281, 27574.310547
-40970.535156, 26866.775391
-42399.246094, 26225.039063
-42369.078125, 26481.820313
-42604.523438, 26895.470703
-42605.386719, 26896.994141
-43252.484375, 28349.646484
-41704.359375, 27814.927734
-40970.578125, 26369.312500
-40300.421875, 24871.558594
-40650.273438, 23283.830078
-41178.230469, 23178.744141
-43630.847656, 21314.167969
-43834.441406, 19738.476563
-44630.238281, 18448.000000
-45492.632813, 17241.974609
-45737.070313, 15909.025391
-45074.128906, 14513.307617
-44392.710938, 13275.057617
-43079.929688, 13528.208008
-41775.175781, 13865.542969
-40442.664063, 14160.528320
-40290.289063, 14510.448242
-40470.199219, 14837.419922
-41702.089844, 15292.063477
-41890.175781, 15228.350586
-42511.132813, 13686.212891
-43268.035156, 12412.598633
-44952.128906, 11858.337891
-46691.527344, 11361.620117
-48340.800781, 10943.746094
-46645.257813, 11124.465820
-45546.273438, 12481.562500
-43980.710938, 12895.715820
-42953.199219, 14095.324219
-41333.960938, 14393.712891
-41081.691406, 12775.703125
-40967.082031, 10653.079102
-40892.207031, 8727.203125
-40917.843750, 7139.748535
-41019.394531, 5481.848145
-41126.136719, 3755.252441
-40151.035156, 2412.514893
-41523.710938, 1275.157715
-40606.648438, -62.900116
-40234.683594, 546.882324
-41392.152344, 1633.431030
-41847.710938, 3167.580811
-42215.023438, 4602.693359
-42550.632813, 6203.789551
-42978.246094, 7907.581055
-43493.503906, 9972.549805
-43978.691406, 11666.711914
-42553.964844, 10949.736328
-41182.332031, 10396.446289
-39541.761719, 10845.601563
-39912.097656, 12514.028320
-38340.386719, 13090.499023
-36821.644531, 13570.065430
-36014.996094, 12199.713867
-35052.394531, 11288.689453
-34666.718750, 12172.946289
-35425.382813, 13618.197266
-35684.660156, 13580.175781
-36341.035156, 13369.470703
-36883.070313, 12841.187500
-37464.949219, 12163.408203
-37414.289063, 11849.966797
-37317.546875, 11302.457031
-36874.535156, 11367.794922
-35315.886719, 11568.369141
-33513.929688, 11827.872070
-33785.843750, 12415.000977
-32282.089844, 13260.799805
-33607.660156, 14145.299805
-35511.707031, 14302.189453
-33855.167969, 15198.750000
-32711.646484, 16373.891602
-32632.824219, 18669.164063
-33449.554688, 20557.791016
-35731.667969, 21026.669922
-38359.199219, 20876.748047
-36548.109375, 21159.796875
-35260.601563, 22598.824219
-36751.140625, 23672.369141
-35658.503906, 25348.835938
-37409.472656, 26921.796875
-36162.125000, 28476.490234
-34848.277344, 27344.917969
-33672.675781, 26257.703125
-32954.632813, 24806.078125
-33639.867188, 23370.945313
-34703.746094, 21809.220703
-32848.140625, 22164.378906
-31383.031250, 22492.183594
-32196.238281, 24173.089844
-30215.490234, 23607.283203
-29484.621094, 25558.996094
-27565.525391, 24948.240234
-29214.035156, 24239.484375
-29029.152344, 22392.861328
-29941.863281, 22463.539063
-27201.769531, 21526.478516
-26229.785156, 19681.714844
-24770.320313, 19031.824219
-24425.376953, 20891.175781
-22195.001953, 20824.767578
-22108.275391, 18976.552734
-19983.398438, 18506.183594
-19450.589844, 20358.830078
-18969.007813, 18367.207031
-17001.583984, 18511.585938
-18794.546875, 17501.322266
-19349.802734, 15337.217773
-18817.925781, 13378.628906
-20619.644531, 12486.041992
-19871.271484, 10524.578125
-18186.478516, 10058.602539
-19073.400391, 8510.071289
-20981.710938, 8498.672852
-21205.392578, 6584.285645
-21020.851563, 8214.799805
-20867.212891, 10201.746094
-20741.103516, 11938.672852
-22407.615234, 12018.734375
-24285.859375, 12011.691406
-25929.548828, 11995.209961
-26207.515625, 10027.003906
-27912.476563, 8339.319336
-29455.392578, 6848.525391
-30718.595703, 5613.474121
-30790.273438, 3574.256348
-29256.500000, 2333.037842
-27576.375000, 1149.051392
-28434.119141, -642.924438
-29474.447266, -2191.962891
-27776.710938, -3283.810059
-28409.164063, -5156.188477
-26486.876953, -7839.997559
-27721.599609, -8853.441406
-28677.445313, -7444.307617
-29448.380859, -6026.694824
-30523.378906, -3843.423584
-29074.158203, -3091.523926
-27920.521484, -1329.099854
-27334.751953, 448.104736
-26749.958984, 2236.192139
-26200.761719, 3915.486816
-25678.708984, 5511.955566
-25071.792969, 7367.967773
-24496.160156, 9128.427734
-24168.789063, 10687.845703
-23732.396484, 12886.472656
-23306.855469, 15032.541992
-22972.330078, 16719.576172
-22587.039063, 18662.724609
-20832.455078, 18365.521484
-19135.218750, 18055.203125
-17337.857422, 17455.597656
-15098.803711, 16702.300781
-14739.121094, 18455.652344
-13041.387695, 18226.773438
-11073.647461, 17991.976563
-9138.764648, 17762.679688
-6980.174316, 17506.804688
-4893.813965, 17259.679688
-5543.615723, 18707.900391
-4367.858398, 20115.503906
-5953.033203, 21045.357422
-7645.840820, 21764.476563
-6258.345215, 20546.716797
-6925.368164, 18762.501953
-7066.951660, 16977.712891
-5813.333496, 15650.758789
-4347.000977, 14739.964844
-5308.391602, 13035.948242
-3574.105225, 12142.938477
-4310.248047, 10504.863281
-5075.523438, 12593.149414
-5652.400391, 14255.210938
-6275.707031, 16051.117188
-6859.412109, 17732.865234
-6232.182617, 15941.702148
-4726.054688, 16900.484375
-4159.565918, 15088.747070
-3675.220947, 13411.854492
-3081.951416, 11574.559570
-1367.549316, 12183.354492
146.058105, 12775.850586
-401.047058, 10935.875977
-1147.775513, 9227.264648
-2343.059326, 6833.655273
-3236.267334, 5035.049316
-2837.043945, 6480.571777
-4552.197266, 7129.100586
-6453.240234, 7511.134277
-8514.669922, 7923.733398
-10381.758789, 8297.444336
-11657.066406, 7069.488281
-9856.023438, 6185.544434
-8247.019531, 5450.883301
-7859.860840, 3633.433838
-9330.063477, 2366.570313
-9832.379883, 4011.973145
-11539.681641, 4685.858887
-13283.001953, 6086.721191
-13861.458984, 8138.021973
-15762.062500, 7521.021973
-17555.382813, 6837.661621
-19370.503906, 6149.019531
-22341.917969, 5102.495117
-24642.574219, 5153.930176
-25452.787109, 7012.456543
-26335.636719, 9157.681641
-27784.857422, 9900.262695
-27044.070313, 11783.217773
-29084.457031, 11129.347656
-32676.388672, 10668.474609
-31781.828125, 12339.702148
-33680.031250, 13062.608398
-33166.007813, 15112.009766
-35207.542969, 16202.532227
-35552.179688, 18559.636719
-37360.609375, 19432.474609
-36623.531250, 21134.789063
-38323.718750, 22301.328125
-37566.433594, 24053.001953
-36248.914063, 22561.177734
-35075.460938, 20796.972656
-34055.261719, 19149.990234
-30626.425781, 18052.857422
-29109.517578, 17579.994141
-27556.019531, 18490.230469
-26171.615234, 17211.308594
-27235.767578, 15763.660156
-28629.380859, 15017.447266
-30357.757813, 15469.458984
-30257.851563, 17482.603516
-29975.425781, 19260.263672
-28864.943359, 20913.796875
-27690.531250, 22480.537109
-28870.443359, 24072.839844
-30895.250000, 24072.406250
-32124.056641, 22106.373047
-33555.722656, 23702.267578
-35102.187500, 22551.476563
-36519.988281, 23994.060547
-37909.421875, 22763.171875
-35984.597656, 23261.439453
-34292.089844, 22698.871094
-33921.324219, 21009.988281
-35568.164063, 20347.138672
-37523.675781, 20947.490234
-38812.820313, 19335.199219
-38877.878906, 17454.015625
-37613.378906, 15951.855469
-36369.667969, 14358.283203
-36598.804688, 12467.861328
-34678.601563, 12124.109375
-32821.183594, 11674.083984
-32926.382813, 9818.458008
-31359.191406, 10703.737305
-29520.203125, 10588.426758
-28119.785156, 11753.040039
-28171.035156, 9482.617188
-27057.251953, 11232.453125
-27321.023438, 13534.039063
-26406.396484, 15113.267578
-27918.843750, 16320.466797
-26841.123047, 17837.050781
-25019.232422, 17475.369141
-24565.566406, 15975.257813
-25590.183594, 17092.548828
-25971.843750, 15566.342773
-25771.148438, 16136.855469
-27216.681641, 17307.953125
-26300.044922, 18656.873047
-24676.521484, 19536.441406
-25875.923828, 20549.945313
-27545.044922, 20168.185547
-28307.255859, 20552.056641
-28624.023438, 19690.505859
-26602.904297, 19438.273438
-27739.902344, 20438.820313
-27872.070313, 18247.820313
-29492.771484, 19048.246094
-29539.005859, 19433.423828
-29539.005859, 19433.423828
-29539.005859, 19433.423828
-29539.005859, 19433.423828
-30512.218750, 20935.634766
-30757.015625, 22778.001953
-31776.060547, 21355.630859
-32922.996094, 19748.005859
-31282.632813, 18353.093750
